date,population,total_cases,new_cases,parks_percent_change_from_baseline
9/18/20 0:00,6691878,109683,1037,105
10/22/20 0:00,6691878,155246,2850,105
7/5/20 0:00,6691878,48201,769,106
6/8/20 0:00,6691878,37623,226,106
3/7/20 0:00,6691878,1,0,106
6/22/20 0:00,6691878,42633,210,106
7/7/20 0:00,6691878,48626,102,107
9/17/20 0:00,6691878,108646,837,107
6/27/20 0:00,6691878,44575,435,107
7/20/20 0:00,6691878,57206,635,107
8/13/20 0:00,6691878,77565,1043,108
8/11/20 0:00,6691878,75862,870,108
7/23/20 0:00,6691878,59602,929,109
6/5/20 0:00,6691878,36578,482,109
9/16/20 0:00,6691878,107809,580,110
7/24/20 0:00,6691878,60598,996,110
7/1/20 0:00,6691878,45952,358,110
5/22/20 0:00,6691878,30409,473,111
11/8/20 0:00,6691878,210374,4652,111
9/25/20 0:00,6691878,115407,1171,111
7/16/20 0:00,6691878,54080,710,111
10/17/20 0:00,6691878,145977,2482,112
6/2/20 0:00,6691878,35237,407,112
11/7/20 0:00,6691878,205722,4899,113
10/31/20 0:00,6691878,179358,3465,113
7/13/20 0:00,6691878,52037,425,114
6/26/20 0:00,6691878,44140,485,114
6/21/20 0:00,6691878,42423,362,114
8/6/20 0:00,6691878,71015,1040,114
6/15/20 0:00,6691878,40430,521,114
5/29/20 0:00,6691878,33558,490,114
10/11/20 0:00,6691878,134981,1570,116
8/9/20 0:00,6691878,74328,1041,116
10/3/20 0:00,6691878,124059,1419,116
9/15/20 0:00,6691878,107229,689,117
5/30/20 0:00,6691878,34211,653,117
7/9/20 0:00,6691878,49575,512,117
8/14/20 0:00,6691878,78632,1067,118
7/18/20 0:00,6691878,55654,841,118
8/15/20 0:00,6691878,79676,1044,120
10/9/20 0:00,6691878,131493,1816,120
5/16/20 0:00,6691878,27280,624,120
8/4/20 0:00,6691878,69255,822,121
9/19/20 0:00,6691878,110759,1076,121
6/13/20 0:00,6691878,39543,397,121
7/15/20 0:00,6691878,53370,685,121
9/11/20 0:00,6691878,103505,1262,121
6/19/20 0:00,6691878,41746,308,121
9/13/20 0:00,6691878,105804,1243,122
7/28/20 0:00,6691878,63678,771,122
5/25/20 0:00,6691878,31715,339,122
8/7/20 0:00,6691878,72254,1239,122
8/16/20 0:00,6691878,80415,739,122
7/31/20 0:00,6691878,66154,901,123
6/7/20 0:00,6691878,37397,400,123
7/29/20 0:00,6691878,64299,621,124
6/12/20 0:00,6691878,39146,398,125
6/23/20 0:00,6691878,42871,238,125
5/23/20 0:00,6691878,30901,492,126
7/17/20 0:00,6691878,54813,733,127
9/27/20 0:00,6691878,117450,901,127
8/8/20 0:00,6691878,73287,1033,132
6/24/20 0:00,6691878,43140,269,135
9/12/20 0:00,6691878,104561,1056,136
7/3/20 0:00,6691878,46915,528,136
7/14/20 0:00,6691878,52685,648,136
6/11/20 0:00,6691878,38748,411,137
7/4/20 0:00,6691878,47432,517,138
6/18/20 0:00,6691878,41438,425,138
7/2/20 0:00,6691878,46387,435,139
8/5/20 0:00,6691878,69975,720,140
7/25/20 0:00,6691878,61520,922,140
9/20/20 0:00,6691878,111505,746,141
6/14/20 0:00,6691878,39909,366,141
7/26/20 0:00,6691878,62372,852,142
6/16/20 0:00,6691878,40786,356,145
9/26/20 0:00,6691878,116549,1142,145
6/6/20 0:00,6691878,36997,419,145
6/25/20 0:00,6691878,43655,515,150
6/20/20 0:00,6691878,42061,315,158
3/8/20 0:00,6691878,2,1,158
8/24/20 0:00,6691878,87592,1660,NULL
8/19/20 0:00,6691878,82336,489,NULL
8/23/20 0:00,6691878,85932,615,NULL
8/22/20 0:00,6691878,85317,1000,NULL
8/17/20 0:00,6691878,81006,591,NULL
8/30/20 0:00,6691878,93313,879,NULL
8/31/20 0:00,6691878,94196,883,NULL
9/5/20 0:00,6691878,98961,1077,NULL
9/6/20 0:00,6691878,99804,843,NULL
8/29/20 0:00,6691878,92434,1121,NULL
9/7/20 0:00,6691878,100394,590,NULL
