"date","total_cases","parks_percent_change_from_baseline"
"2020-08-19 00:00:00",82336,NULL
"2020-08-20 00:00:00",83277,52
"2020-08-21 00:00:00",84317,51
"2020-08-22 00:00:00",85317,NULL
"2020-08-23 00:00:00",85932,NULL
"2020-08-24 00:00:00",87592,NULL
"2020-08-25 00:00:00",88421,36
"2020-08-26 00:00:00",89359,43
"2020-08-27 00:00:00",90504,29
"2020-08-28 00:00:00",91313,28
"2020-08-29 00:00:00",92434,NULL
"2020-08-30 00:00:00",93313,NULL
"2020-08-31 00:00:00",94196,NULL
"2020-09-01 00:00:00",94891,41
"2020-09-02 00:00:00",95750,40
"2020-09-03 00:00:00",96854,49
"2020-09-04 00:00:00",97884,52
"2020-09-05 00:00:00",98961,NULL
"2020-09-06 00:00:00",99804,NULL
"2020-09-07 00:00:00",100394,NULL
"2020-09-08 00:00:00",100780,40
"2020-09-09 00:00:00",101485,49
"2020-09-10 00:00:00",102243,40
"2020-09-11 00:00:00",103505,121.16666666666667
"2020-09-12 00:00:00",104561,136
"2020-09-13 00:00:00",105804,121.66666666666667
"2020-09-14 00:00:00",106540,96.5
"2020-09-15 00:00:00",107229,117
"2020-09-16 00:00:00",107809,109.5
"2020-09-17 00:00:00",108646,106.8
"2020-09-18 00:00:00",109683,105.14285714285714
"2020-09-19 00:00:00",110759,120.5
"2020-09-20 00:00:00",111505,141
"2020-09-21 00:00:00",112027,93.42857142857143
"2020-09-22 00:00:00",112626,95.57142857142857
"2020-09-23 00:00:00",113337,81.6
"2020-09-24 00:00:00",114236,103.57142857142857
"2020-09-25 00:00:00",115407,110.66666666666667
"2020-09-26 00:00:00",116549,145
"2020-09-27 00:00:00",117450,127.25
"2020-09-28 00:00:00",118322,22.636363636363637
"2020-09-29 00:00:00",119066,66.75
"2020-09-30 00:00:00",120019,68.42857142857143
"2020-10-01 00:00:00",121176,55.5
"2020-10-02 00:00:00",122640,65.25
"2020-10-03 00:00:00",124059,116
"2020-10-04 00:00:00",125146,63.36363636363637
"2020-10-05 00:00:00",125976,62.3
"2020-10-06 00:00:00",126946,83.42857142857143
"2020-10-07 00:00:00",128227,90.25
"2020-10-08 00:00:00",129677,97.875
"2020-10-09 00:00:00",131493,119.625
"2020-10-10 00:00:00",133411,102
"2020-10-11 00:00:00",134981,116
"2020-10-12 00:00:00",136555,33.72727272727273
"2020-10-13 00:00:00",138104,89
